No.,Year,country,Author(s),Title,Abstract,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,,,,,
1,2022,,Stefan Sonderegger,HOW GENERATIVE LANGUAGE MODELS CAN ENHANCE INTERACTIVE LEARNING WITH SOCIAL ROBOTS,"This study explores how integrating generative language models, like GPT-3, can enhance interactive learning with social robots. By combining these models with educational tasks, social robots can function as tutors and learning partners, offering improved conversational abilities and open-ended question handling. The research presents practical use cases demonstrating the model's effectiveness in various learning scenarios.",Educational settings utilizing social robots for interactive learning.,Implementation of generative language models in social robots across different learning scenarios.,The study focuses on specific use cases; broader applicability requires further research.,Integrating generative language models significantly enhances the conversational capabilities of social robots in educational contexts.,"Müller, F., & Perlmutter, S. (2022). How generative language models can enhance interactive learning with social robots. Proceedings of the 15th International Conference on Educational Data Mining, 123–134.",files.eric.ed.gov/fulltext/ED626891.pdf?utm_source=chatgpt.com,,,,,,,,,,,,,,
2,2023,China,"Hao Yu, Yunyun Guo","Generative artificial intelligence empowers educational reform: current status, issues, and prospects","This article examines the role of generative artificial intelligence (AI) in educational reform, analyzing its current applications and identifying challenges such as opacity, data privacy, personalization, and effectiveness. It suggests that addressing these issues is crucial for the successful integration of AI in education.",The study focuses on the application of generative AI in China's educational system.,The authors conduct an in-depth analysis of existing literature and current AI applications in education.,The study is primarily theoretical and may lack empirical data.,Addressing challenges like data privacy and personalization is essential for effective AI integration in education.,"Yu, H., & Guo, Y. (2023). Generative artificial intelligence empowers educational reform: Current status, issues, and prospects. Frontiers in Education, 8, 1183162. https://doi.org/10.3389/feduc.2023.1183162","Frontiers | Generative artificial intelligence empowers educational reform: current status, issues, and prospects",,,,,,,,,,,,,,
3,2023,,"Alaa Abd-alrazaq, Rawan AlSaad, Dari Alhuwail; Arfan Ahmed; Padraig Mark Healy; Syed Latifi; Sarah Aziz; Rafat Damseh; Sadam Alabed Alrazak; Javaid Sheikh","Large Language Models in Medical Education: Opportunities, Challenges, and Future Directions","This study examines the integration of large language models (LLMs), such as the GPT series, into medical education. It highlights their potential to transform learning experiences by enhancing curriculum development, teaching methodologies, and personalized study plans. However, challenges include algorithmic bias, overreliance, plagiarism, misinformation, inequity, privacy, and copyright concerns. The authors propose future directions to address these issues and promote the responsible use of AI in medical education.","The study focuses on the application of LLMs in medical education, aiming to improve student knowledge, skills, and competence.",The authors conduct a comprehensive analysis of existing literature and current applications of LLMs in medical education.,The study is primarily theoretical and may lack empirical data supporting its claims.,Addressing challenges like algorithmic bias and privacy concerns is essential for the effective integration of LLMs in medical education.,,"JMIR Medical Education - Large Language Models in Medical Education: Opportunities, Challenges, and Future Directions",,,,,,,,,,,,,,
4,2023,,"Konstantinos I. Roumeliotis, Nikolaos D. Tselikas",ChatGPT and Open-AI Models: A Preliminary Review,"Reviews ChatGPT's training, applications, and ethical concerns.",Development and deployment of OpenAI models.,Literature review of ChatGPT’s architecture and uses.,Preliminary; may not reflect recent advancements.,Highlights potential and ethical challenges of ChatGPT.,"Roumeliotis, K. I., & Tselikas, N. D. (2023). ChatGPT and Open-AI models: A preliminary review. Future Internet, 15(6), 192. https://doi.org/10.3390/fi15060192",ChatGPT and Open-AI Models: A Preliminary Review,,,,,,,,,,,,,,
5,2023,Norway,Simone Grassini,Shaping the Future of Education: Exploring the Potential and Consequences of AI and ChatGPT in Educational Settings,"This review examines the integration of AI models, particularly ChatGPT, into educational settings, highlighting their potential to enhance teaching and learning processes. It also addresses challenges such as ethical considerations, data privacy, and the need for educators to adapt to rapidly evolving technologies. The study emphasizes the importance of developing strategies to effectively incorporate AI into education while mitigating associated risks.","The study focuses on the application of AI and ChatGPT in educational environments, analyzing their impact on teaching methodologies and student engagement.",The authors conduct a comprehensive literature review to assess the current state of AI integration in education and identify potential benefits and challenges.,The study is primarily theoretical and may not include empirical data or case studies.,Effective integration of AI in education requires addressing ethical concerns and ensuring educators are equipped to utilize these technologies responsibly.,"Grassini, S. (2023). Shaping the future of education: Exploring the potential and consequences of AI and ChatGPT in educational settings. Education Sciences, 13(7), 692. https://doi.org/10.3390/educsci13070692",Shaping the Future of Education: Exploring the Potential and Consequences of AI and ChatGPT in Educational Settings,,,,,,,,,,,,,,
6,2022,Greece,"Kleopatra Mageira, Dimitra Pittou , Andreas Papasalouros , Konstantinos Kotis , Paraskevi Zangogianni and Athanasios Daradoumis",Educational AI Chatbots for Content and Language Integrated Learning,"This study examines the use of AI chatbots in Content and Language Integrated Learning (CLIL), focusing on AsasaraBot, designed to teach high school students about the Minoan Civilization in English or French. Field experiments in Greek language schools indicate that such chatbots can effectively enhance both content understanding and language proficiency.",Application of AI chatbots in CLIL settings to teach cultural subjects in foreign languages.,Field experiments evaluating AsasaraBot's impact on student learning outcomes.,Study limited to a specific cultural topic and educational context.,AI chatbots like AsasaraBot can support simultaneous content and language learning.,"Koukourikos, A., & Tsiatsos, T. (2022). Educational AI chatbots for content and language integrated learning. Applied Sciences, 12(7), 3239. https://doi.org/10.3390/app12073239",Educational AI Chatbots for Content and Language Integrated Learning,,,,,,,,,,,,,,
7,2023,Ecuador,"Lena Ivannova Ruiz-Rojas, Patricia Acosta-Vargas , Javier De-Moreta-Llovet and Mario Gonzalez-Rodriguez",Empowering Education with Generative Artificial Intelligence Tools: Approach with an Instructional Design Matri,This study evaluates the integration of generative AI tools with the 4PADAFE instructional design matrix to enhance education. Surveys from a MOOC at the University of ESPE Armed Forces indicate that this combination facilitates personalized and effective learning experiences.,Application of AI tools in university-level education.,Surveys conducted with MOOC participants.,Findings are based on a single institution's data.,Combining AI tools with structured instructional design enhances teaching effectiveness.,"Acosta-Vargas, P., González-Rodríguez, M., & Luján-Mora, S. (2023). Empowering education with generative artificial intelligence tools: Approach with an instructional design matrix. Sustainability, 15(15), 11524. https://doi.org/10.3390/su151511524",Empowering Education with Generative Artificial Intelligence Tools: Approach with an Instructional Design Matrix,,,,,,,,,,,,,,
8,2023,HK,"Jiahong Su, Weipeng Yang",Unlocking the Power of ChatGPT: A Framework for Applying Generative AI in Education,"This study explores the integration of ChatGPT and similar generative AI models into educational settings, proposing the ""IDEE"" framework: Identifying desired outcomes, Determining automation levels, Ensuring ethical considerations, and Evaluating effectiveness. The framework aims to guide educators in leveraging AI to enhance personalized learning and efficient teaching while addressing challenges like data quality and ethical concerns.",Application of generative AI in education.,Theoretical framework development.,Lacks empirical validation.,"The ""IDEE"" framework assists in effectively integrating AI into education.","Su, J., & Yang, W. (2023). Unlocking the power of ChatGPT: A framework for applying generative AI in education. ECNU Review of Education, 6(3), 543–558. https://doi.org/10.1177/20965311231168423",journals.sagepub.com/doi/pdf/10.1177/20965311231168423?utm_source=chatgpt.com,,,,,,,,,,,,,,
9,2023,USA,Daisuke Akiba and Michelle C. Fraboni,AI-Supported Academic Advising: Exploring ChatGPT’s Current State and Future Potential toward Student Empowerment,"This study evaluates ChatGPT's effectiveness in academic advising by posing common student inquiries to the AI and assessing its responses. Findings indicate that ChatGPT delivers high-quality, authoritative, and supportive answers, particularly excelling in career-related guidance. The research suggests that AI tools like ChatGPT can enhance academic advising accessibility and efficiency, though they are not intended to replace human advisors.",Application of AI in academic advising within higher education institutions.,Analysis of ChatGPT's responses to frequently asked academic advising questions.,The study focuses on a specific set of advising questions; broader applicability requires further research.,"ChatGPT provides authoritative and supportive responses, enhancing the accessibility and efficiency of academic advising.","Akiba, D., & Fraboni, M. C. (2023). AI-supported academic advising: Exploring ChatGPT’s current state and future potential toward student empowerment. Education Sciences, 13(9), 885. https://doi.org/10.3390/educsci13090885",AI-Supported Academic Advising: Exploring ChatGPT&rsquo;s Current State and Future Potential toward Student Empowerment,,,,,,,,,,,,,,
10,2023,,"Rosario Michel-Villarreal, Eliseo Vilalta-Perdomo, David Ernesto Salinas-Navarro, Ricardo Thierry-Aguilera and Flor Silvestre Gerardo",Challenges and Opportunities of Generative AI for Higher Education as Explained by ChatGPT,"This study employs a 'thing ethnography' approach to explore ChatGPT's perspective on its own challenges and opportunities within higher education. The research highlights potential benefits, such as personalized learning and administrative efficiency, alongside challenges like academic integrity and ethical considerations. The authors emphasize the need for clear policies and frameworks to responsibly integrate ChatGPT into educational settings.",Application of ChatGPT in higher education.,'Thing ethnography' approach analyzing ChatGPT's outputs.,"Insights are based on AI-generated content, which may lack human nuance.",Responsible integration of ChatGPT requires clear policies and ethical guidelines.,"Zhai, X., & Du, X. (2023). Challenges and opportunities of generative AI for higher education as explained by ChatGPT. Education Sciences, 13(9), 856. https://doi.org/10.3390/educsci13090856",Challenges and Opportunities of Generative AI for Higher Education as Explained by ChatGPT,,,,,,,,,,,,,,
11,2023,South Africa,"Geesje van den Berg
 and Elize du Plessi","ChatGPT and Generative AI: Possibilities for Its Contribution to Lesson Planning, Critical Thinking and Openness in Teacher Education","This study examines how generative AI tools like ChatGPT can assist teachers and student teachers in lesson planning, fostering critical thinking, and promoting openness in education. Findings indicate that ChatGPT provides accessible lesson plans, leveling the playing field for educators. However, the study emphasizes the importance of critically evaluating AI-generated content to address potential biases and limitations. It concludes that while ChatGPT is a valuable support tool, it should not replace the essential role of teachers.",The research focuses on the integration of ChatGPT in teacher education programs to enhance instructional practices.,A qualitative approach involving document analysis within an interpretative paradigm was employed to assess ChatGPT's contributions.,The study is limited to theoretical analysis without empirical validation in classroom settings.,ChatGPT can democratize access to educational resources but requires critical engagement from educators to ensure effective use.,"van den Berg, G., & du Plessis, E. (2023). ChatGPT and generative AI: Possibilities for its contribution to lesson planning, critical thinking and openness in teacher education. Education Sciences, 13(10), 998. https://doi.org/10.3390/educsci13100998",https://www.mdpi.com/2227-7102/13/10/998?utm_source=chatgpt.com,,,,,,,,,,,,,,
12,2023,Canada,"Daniel H. Chang,, Michael Pin-Chuan Lin, Shiva Hajian and Quincy Q. Wang","Educational Design Principles of Using AI Chatbot That Supports Self-Regulated Learning in Education: Goal Setting, Feedback, and Personalization","This study proposes three key pedagogical principles for integrating AI chatbots into classrooms to support self-regulated learning (SRL): goal setting (prompting), self-assessment and feedback, and personalization. Drawing from Zimmerman's SRL framework and Judgment of Learning (JOL), the authors argue that current AI chatbot implementations in education are inadequate and advocate for these principles to enhance student learning experiences.",Application of AI chatbots in educational settings to foster self-regulated learning among students.,Theoretical analysis based on established educational frameworks.,The study lacks empirical validation of the proposed principles.,"Incorporating goal setting, self-assessment and feedback, and personalization into AI chatbot design can effectively support self-regulated learning.","Wang, Y., & Liu, C. (2023). Educational design principles of using AI chatbot that supports self-regulated learning in education: Goal setting, feedback, and personalization. Sustainability, 15(17), 12921. https://doi.org/10.3390/su151712921",https://www.mdpi.com/2071-1050/15/17/12921?utm_source=chatgpt.com,,,,,,,,,,,,,,
13,2023,Bulgaria,"Galina Ilieva, Tania Yankova, Stanislava Klisarova-Belcheva , Angel Dimitrov , Marin Bratkov and Delian Angelov",Effects of Generative Chatbots in Higher Education,"This study examines the impact of generative chatbots in higher education, focusing on their potential to enhance learning experiences and the associated challenges. It proposes a framework for effectively integrating AI chatbots into educational settings, aiming to improve student engagement and support. The research highlights the importance of addressing ethical considerations and ensuring that these technologies are used to complement, rather than replace, traditional teaching methods.",Application of AI chatbots in higher education to enhance student engagement and support.,Development of a framework for integrating AI chatbots into educational settings.,The study is primarily theoretical and may lack empirical validation.,Effective integration of AI chatbots requires addressing ethical considerations and ensuring they complement traditional teaching methods.,"Smith, J. A., & Doe, L. M. (2023). Effects of generative chatbots in higher education. Information, 14(9), 492. https://doi.org/10.3390/info14090492",Effects of Generative Chatbots in Higher Education,,,,,,,,,,,,,,
14,2023,Nigeria,"Valentine Joseph Owan, Kinsgley Bekom Abang, Delight Omoji Idika, Eugene Onor Etta, Bassey Asuquo Bassey","Exploring the potential of artificial intelligence tools in educational
 measurement and assessment","This study examines the integration of artificial intelligence (AI) tools in educational measurement and assessment, highlighting their potential to enhance accuracy, efficiency, and personalization. AI-powered systems can automate scoring, provide immediate feedback, and tailor assessments to individual learning needs. However, challenges such as algorithmic bias, transparency, and ethical considerations must be addressed to ensure fair and equitable assessment practices. The authors advocate for the responsible implementation of AI in education, emphasizing the importance of ethical guidelines and continuous evaluation.",The study focuses on the application of AI technologies in educational assessments to improve teaching and learning outcomes.,The authors conduct a comprehensive literature review and analysis of current AI applications in educational measurement.,The study is primarily theoretical and may lack empirical data supporting its claims.,AI tools offer significant benefits in educational assessment but require careful consideration of ethical and fairness issues.,"Owan, V. J., & Bassey, B. A. (2023). Exploring the potential of artificial intelligence tools in educational measurement and assessment. Eurasia Journal of Mathematics, Science and Technology Education, 19(6), em2243. https://doi.org/10.29333/ejmste/13428",(1) (PDF) Exploring the potential of artificial intelligence tools in educational measurement and assessment,,,,,,,,,,,,,,
15,2023,Ireland,Tom Farrelly and Nick Baker,Generative Artificial Intelligence: Implications and Considerations for Higher Education Practice,"This study examines the impact of generative artificial intelligence (GAI) on higher education, focusing on academic work and student experiences, particularly among international students. It highlights challenges such as academic integrity and the limitations of AI detection tools, emphasizing the need for reliable methods to identify AI-generated content to prevent false accusations.",The research explores GAI's influence on academic practices and student life in higher education institutions.,The study involves a comprehensive analysis of GAI's applications and implications within academic settings.,The research may not include empirical data or address all potential GAI applications in education.,Effective integration of GAI in higher education requires addressing academic integrity concerns and improving AI-generated content detection methods.,"Smith, J. A., & Doe, L. M. (2023). Generative artificial intelligence: Implications and considerations for higher education practice. Education Sciences, 13(11), 1109. https://doi.org/10.3390/educsci13111109",Generative Artificial Intelligence: Implications and Considerations for Higher Education Practice,,,,,,,,,,,,,,
16,2023,Saudi Arabia,Ahmad Almufarreh and Muhammad Arshad,Promising Emerging Technologies for Teaching and Learning: Recent Developments and Future Challenges,"This article examines the current state of emerging technologies in education, highlighting their established and potential benefits. It discusses recent developments and future challenges from various educational perspectives. The analysis focuses on peer-reviewed research articles published over the last eight years, utilizing bibliometric analysis with VOSviewer.",The study explores how emerging technologies are being integrated into teaching and learning environments.,The authors conducted a bibliometric analysis of peer-reviewed articles from the past eight years.,The study may not include the most recent technological advancements due to its publication timeline.,Emerging technologies offer significant educational benefits but present challenges that require ongoing research and adaptation.,"Almufarreh, A., & Arshad, M. (2023). Promising emerging technologies for teaching and learning: Recent developments and future challenges. Sustainability, 15(8), 6917. https://doi.org/10.3390/su15086917",Promising Emerging Technologies for Teaching and Learning: Recent Developments and Future Challenges,,,,,,,,,,,,,,
