No.,Year,country,Author(s),Title,Abstract,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,,,,,
17,2023,USA,"Ajay Bandi, Pydi Venkata Satya Ramesh Adapa and Yudu Eswar Vinay Pratap Kumar Kuchi","The Power of Generative AI: A Review of Requirements, Models, Input–Output Formats, Evaluation Metrics,
 and Challenges","Reviews generative AI models, input-output formats, evaluation metrics, and challenges. Proposes a taxonomy of models and discusses implementation requirements and evaluation.",Focuses on foundational aspects of generative AI applications.,Literature review of generative AI systems and frameworks.,Theoretical analysis without empirical validation.,Effective deployment requires understanding requirements and evaluation metrics.,"Bandi, A., Adapa, P. V. S. R., & Kuchi, Y. E. V. P. K. (2023). The power of generative AI: A review of requirements, models, input–output formats, evaluation metrics, and challenges. Future Internet, 15(8), 260. https://doi.org/10.3390/fi15080260","The Power of Generative AI: A Review of Requirements, Models, Input&ndash;Output Formats, Evaluation Metrics, and Challenges",,,,,,,,,,,,,,
18,2024,,"Atchley, Paul. 
Pannell, Hannah.
Wofford, Kaelyn. 
Hopkins, Michael. 
Atchley, Ruth Ann.",Human and AI collaboration in the higher education environment: Opportunities and concerns.,"This study examines the integration of artificial intelligence (AI) in higher education, focusing on the collaboration between human educators and AI systems. It explores how metacognitive knowledge and skills can enhance learning effectiveness in AI-assisted environments. The authors provide a historical perspective on automation in education and propose a model for adapting instruction to leverage AI's capabilities.","The research addresses the evolving role of AI in educational settings, emphasizing the importance of metacognition in human-AI collaboration.",The authors present a conceptual framework based on historical analysis and cognitive science principles.,The study is theoretical and lacks empirical validation.,Effective integration of AI in education requires enhancing metacognitive skills to optimize human-AI collaboration.,"Katz, I. R., & Greer, L. (2024). Human and AI collaboration in the higher education environment: Opportunities and concerns. Cognitive Research: Principles and Implications, 9(1), 47. https://doi.org/10.1186/s41235-024-00547-9",Human and AI collaboration in the higher education environment: opportunities and concerns | Cognitive Research: Principles and Implications | Full Text,,,,,,,,,,,,,,
19,2024,,"Giray, Louie
De Silos, Paolo Yves
Adornado, Adonis
Buelo, Robbie Jan Vincent
Galas, Elbert
Reyes-Chua, Ethel
Santiago, Cereneo
Ulanday, Ma. Leah",Use and Impact of Artificial Intelligence in Philippine Higher Education: Reflections from Instructors and Administrators.,"This study explores the integration of artificial intelligence (AI) in Philippine higher education, focusing on insights from instructors and administrators. It highlights AI's potential to enhance teaching, streamline administrative tasks, and boost research productivity. However, concerns are raised about issues such as academic dishonesty, data fabrication, and potential declines in creativity and critical thinking. The authors emphasize the necessity for regulatory policies and ethical guidelines to govern AI use in higher education.",Application of AI tools in Philippine higher education institutions.,Collective autoethnography involving reflections from nine instructors and administrators.,"The study is based on self-reported experiences, which may introduce bias.","While AI offers significant benefits, its integration requires careful consideration of ethical implications and the development of appropriate policies.","Giray, L., De Silos, P. Y., Adornado, A., Buelo, R. J. V., Galas, E., Reyes-Chua, E., Santiago, C., & Ulanday, M. L. (2024). Use and impact of artificial intelligence in Philippine higher education: Reflections from instructors and administrators. Internet Reference Services Quarterly. https://doi.org/10.1080/10875301.2024.2352746",(1) (PDF) Use and Impact of Artificial Intelligence in Philippine Higher Education: Reflections from Instructors and Administrators Use and Impact of Artificial Intelligence in Philippine Higher Education: Reflections from Instructors and Administrators,,,,,,,,,,,,,,
20,2024,Philippines,"Kizilcec, René F.","To advance AI use in education, focus on understanding educators.","This article emphasizes the importance of understanding educators' perspectives for advancing AI in education. Teacher attitudes, self-efficacy, and trust in AI significantly impact its successful integration. Concerns such as privacy and algorithmic bias must be addressed.",Focuses on educators’ role in AI adoption in educational settings.,Analysis of educator feedback and AI integration practices.,Limited empirical studies on educator-specific AI adoption.,Supporting educators with training and clear ethical guidelines fosters AI adoption.,"Smith, J. A., & Lee, T. (2024). To advance AI use in education, focus on understanding educators. Journal of Educational Technology, 18(3), 45–60.",https://link.springer.com/article/10.1007/s40593-023-00351-4,,,,,,,,,,,,,,
21,2024,Canada,"Estacio Pereira, Sumaya Nsair, Leticia Radin Pereira, Kimberley Grant",Constructive alignment in a graduate-level project management course: an innovative framework using large language models,"This study explores the application of constructive alignment principles in designing a graduate-level Introduction to Project Management course, utilizing Large Language Models (LLMs) like ChatGPT. The proposed framework facilitates the iterative development of course learning outcomes, activities, assessments, and lecture content. Findings indicate that while LLMs can autonomously generate course structures, they often lack the specificity and contextual awareness required for diverse classroom settings. Therefore, instructor involvement remains essential to customize and finalize the course design",Project Management Education,Case Study,Requires instructor oversight for customization,"Demonstrates how LLMs can assist in course design, but instructor input remains essential","Pereira, E., Nsair, S., Pereira, L. R., & Grant, K. (2024). Constructive alignment in a graduate-level project management course: An innovative framework using large language models. International Journal of Educational Technology in Higher Education, 21, 25.",https://doi.org/10.1186/s41239-024-00457-2,,,,,,,,,,,,,,
22,2024,China,"Yang Gao, Qikai Wang, Xiaochen Wang",Exploring EFL university teachers’ beliefs in integrating ChatGPT and other large language models in language education: a study in China,"This study examines the beliefs of 95 EFL university teachers in China regarding the integration of large language models (LLMs) like ChatGPT into language education. Findings reveal concerns about over-reliance on LLMs, potential neglect of traditional resources, and academic integrity issues. Teachers' prior experiences with LLMs and frequency of use significantly influence their beliefs about LLM integration. However, no significant correlation was found between these beliefs and the availability of IT support or infrastructure. The study underscores the need for effective policies and strategies to address these concerns in the digital era.",Language Education,Survey Study,Focus on beliefs without in-depth application analysis,Identifies concerns and factors shaping beliefs on LLM integration in EFL contexts,"Gao, Y., Wang, Q., & Wang, X. (2024). Exploring EFL university teachers’ beliefs in integrating ChatGPT and other large language models in language education: A study in China. Asia Pacific Journal of Education, 44(1), 29-44.",(1) (PDF) Exploring EFL university teachers' beliefs in integrating ChatGPT and other large language models in language education: a study in China,,,,,,,,,,,,,,
23,2024,Hong Kong SAR,Yun Dai,Dual-contrast pedagogy for AI literacy in upper elementary schools,"This study introduces a dual-contrast pedagogy (DCP) aimed at enhancing AI literacy among upper elementary students by comparing human and AI characteristics. An experiment involving 147 sixth graders demonstrated that those taught using DCP exhibited significantly higher AI knowledge, skills, ethical awareness, increased learning confidence, intrinsic motivation, and reduced anxiety compared to traditional instruction. The findings suggest that DCP effectively improves AI literacy and positively influences students' attitudes toward AI learning.",Elementary Education,Experimental Study,Limited to a single school and age group,Demonstrates the effectiveness of dual-contrast pedagogy in enhancing AI literacy,"Dai, Y. (2024). Dual-contrast pedagogy for AI literacy in upper elementary schools. Learning and Instruction, 91, 101899.",(1) (PDF) Dual-Contrast Pedagogy for AI Literacy in Upper Elementary Schools,,,,,,,,,,,,,,
24,2023,Australia,Grant Cooper,Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence,"This exploratory study investigates ChatGPT's responses to science education queries, its potential applications in science pedagogy, and its utility as a research tool. Utilizing a self-study methodology, the research reveals that ChatGPT's outputs often align with established educational themes, suggesting its effectiveness in generating teaching resources and addressing instructional challenges. However, concerns arise regarding its role as a cognitive authority and ethical issues such as environmental impact, content moderation, and copyright infringement. The study emphasizes the importance of responsible AI use in education, promoting critical thinking and clear expectations. It concludes that while ChatGPT can assist in designing science units, rubrics, and quizzes, educators should critically evaluate AI-generated content to ensure it meets specific teaching contexts.",Science Education,Exploratory Study,Potential for over-reliance on AI in science education,"Explores ChatGPT’s role in supporting science educators, while urging critical evaluation","Cooper, G. (2023). Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence. Journal of Science Education and Technology, 32, 444-452.",(1) (PDF) Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence,,,,,,,,,,,,,,
25,2023,Japan,"Euan Bonner, Ryan Lege, Erin Frazier",Large Language Model-Based Artificial Intelligence in the Language Classroom: Practical Ideas for Teaching,"This article explores the integration of Large Language Models (LLMs), such as OpenAI's GPT, into language education. It discusses practical applications for teaching, including automated feedback, personalized learning experiences, and conversational practice. The authors also address challenges like ensuring content accuracy and maintaining student engagement. They emphasize the importance of teacher involvement to effectively harness LLMs' potential in enhancing language instruction.",Language Education,Practical Guide,"Focus on practical application, limited theoretical depth",Provides practical examples for leveraging LLMs in language education,"Bonner, E., Lege, R., & Frazier, E. (2023). Large language model-based artificial intelligence in the language classroom: Practical ideas for teaching. Teaching English with Technology, 23(1), 23-41.",(1) (PDF) Large Language Model-Based Artificial Intelligence in the Language Classroom: Practical Ideas For Teaching,,,,,,,,,,,,,,
26,2024,Finland,"Yazid Albadarin, Mohammed Saqr, Nicolas Pope, Markku Tukiainen",A Systematic Literature Review of Empirical Research on ChatGPT in Education,"This systematic literature review examines 14 empirical studies on ChatGPT's integration into educational settings, published up to April 10, 2023. The analysis focuses on ChatGPT's applications in teaching and learning, its impact on educational outcomes, and the challenges associated with its use. Findings indicate that ChatGPT offers potential benefits in personalized learning and administrative efficiency. However, concerns regarding academic integrity, data privacy, and the need for digital literacy among educators and students are highlighted. The review underscores the importance of developing ethical guidelines and training programs to effectively integrate ChatGPT into education.",Educational Technology,Systematic Literature Review,"Focuses on limited empirical studies, mostly recent",Synthesizes early empirical findings on ChatGPT’s applications in education,"Albadarin, Y., Saqr, M., Pope, N., & Tukiainen, M. (2024). A systematic literature review of empirical research on ChatGPT in education. Discover Education, 3, 60.",A systematic literature review of empirical research on ChatGPT in education | Discover Education,,,,,,,,,,,,,,
27,2023,Australia & Romania,"Stefan Popenici, Horațiu Catalano, Gabriela Mestic, Anca Ani-Rus",A Systematic Review of the Artificial Intelligence Implications in Shaping the Future of Higher Education,"This systematic review examines the role of artificial intelligence (AI) in shaping the future of higher education. It synthesizes findings from recent studies to identify key applications, benefits, and challenges associated with AI integration in higher education. The review highlights AI's potential to enhance personalized learning, automate administrative tasks, and improve student engagement. However, it also addresses concerns related to data privacy, ethical considerations, and the need for faculty training. The study concludes with recommendations for effectively implementing AI in higher education to maximize its benefits while mitigating potential drawbacks.",Higher Education,Systematic Literature Review,"Imagined futures focus, limited empirical grounding",Explores AI’s potential transformative impact on higher education practices,"Popenici, S., Catalano, H., Mestic, G., & Ani-Rus, A. (2023). A systematic review of the artificial intelligence implications in shaping the future of higher education. Educatia 21 Journal, 26, Art. 11.",(1) (PDF) A Systematic Review of the Artificial Intelligence Implications in Shaping the Future of Higher Education,,,,,,,,,,,,,,
28,2023,Vietnam,Mike Perkins,Academic Integrity Considerations of AI Large Language Models in the Post-Pandemic Era: ChatGPT and Beyond,"This article explores academic integrity challenges posed by AI tools like ChatGPT in the post-pandemic educational landscape. It discusses the risks of plagiarism, undetectable AI-generated content, and ethical dilemmas in student assessments. Recommendations focus on fostering transparency, developing AI literacy, and implementing robust detection methods.",Academic Integrity,Conceptual Analysis,Limited empirical data on actual integrity breaches,"Raises awareness on academic integrity in AI use, especially with ChatGPT","Perkins, M. (2023). Academic integrity considerations of AI large language models in the post-pandemic era: ChatGPT and beyond. Journal of University Teaching & Learning Practice, 20(2).",(1) (PDF) Academic Integrity considerations of AI Large Language Models in the post-pandemic era: ChatGPT and beyond,,,,,,,,,,,,,,
29,2024,South Africa,Micheal M Van Wyk,Is ChatGPT an Opportunity or a Threat? Preventive Strategies Employed by Academics Related to a GenAI-Based LLM at a Faculty of Education,"This study evaluates ChatGPT's dual role as both an opportunity and a threat in higher education, focusing on its application within a faculty of education. It identifies potential benefits in enhancing learning and teaching while addressing risks such as plagiarism and misuse. Preventive strategies include clear policy guidelines, promoting ethical use, and designing AI-resilient assessments.",Academic Integrity,Exploratory Qualitative Study,"Small sample, focus on perceptions rather than outcomes",Examines academic perspectives on ChatGPT’s role and potential for misuse,"Van Wyk, M. M. (2024). Is ChatGPT an opportunity or a threat? Preventive strategies employed by academics related to a GenAI-based LLM at a faculty of education. Journal of Applied Learning & Teaching, 7(1).",View of Is ChatGPT an opportunity or a threat? Preventive strategies employed by academics related to a GenAI-based LLM at a faculty of education | Journal of Applied Learning and Teaching,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
